-,-,-
-1.07,9.06,1.59
-1.01,8.43,1.73
-1.07,8.12,1.81
-0.93,8.59,1.61
0.03,8.45,1.53
0.03,9.67,1.58
0.12,8.44,1.46
0.59,9.90,2.09
1.11,12.09,2.34
3.11,10.51,1.14
6.17,10.94,0.5
8.33,7.63,1.04
0.28,2.28,-0.57
-6.62,3.03,-0.05
-4.13,6.68,1.24
-0.45,5.75,1.90
-3.75,7.27,1.17
-6.24,6.89,-0.28
-4.59,9.09,-0.24
-2.00,9.00,-0.46
-3.32,11.04,-0.56
-5.29,10.24,-1.76
-3.25,10.75,-1.56
-1.39,11.06,-1.21
-2.14,10.30,-1.48
-3.21,11.33,-1.38
-2.70,10.34,-1.37
-1.98,11.12,-1.22
-1.41,11.28,-0.87
-0.70,10.13,-1.02
0.01,11.95,-0.25
0.29,11.64,-0.12
1.32,8.71,-0.63
2.50,14.01,0.74
4.74,7.73,-0.29
1.65,11.10,0.97
3.33,8.22,0.11
5.01,5.27,0.94
0.60,5.96,0.54
-1.71,4.61,1.06
-2.23,4.64,1.19
-1.79,8.97,2.38
-1.85,4.96,1.92
-4.59,8.15,2.07
-4.11,6.48,1.88
-3.41,9.93,2.37
-2.07,10.39,2.32
-0.99,8.63,1.49
-0.21,10.40,2.02
0.49,7.72,1.69



-,-,-
-0.68,9.35,0.58
-0.81,9.51,0.87
-1.55,10.99,1.03
-1.10,12.35,1.53
1.36,9.64,0.53
2.37,10.17,0.69
5.19,8.44,-0.36
7.64,5.40,-0.21
4.19,4.33,-0.95
-2.05,1.01,-1.92
-7.97,3.50,-2.77
-9.26,12.45,-2.47
-10.65,9.00,-2.19
-13.94,11.70,-4.08
-8.69,10.56,-5.58
0.02,10.03,-4.29
3.04,20.46,-2.59
5.29,12.70,-3.74
3.46,17.55,-2.52
6.78,6.85,-3.28
5.34,11.54,-1.15
5.29,4.48,-2.45
2.42,6.25,-0.35
-0.00,4.13,-0.43
-1.84,4.85,0.61
-2.15,7.16,1.48
-2.61,7.11,2.06
-3.99,9.24,2.32
-3.46,9.08,2.20
-1.63,9.78,1.75
0.64,10.07,1.57
2.08,9.26,1.53
1.30,9.21,1.33
0.50,8.07,0.96



-,-,-
0.45,8.85,1.38
0.70,8.51,1.45
0.34,9.10,1.61
0.50,10.06,1.59
1.56,10.68,1.38
2.44,10.37,0.74
3.05,10.69,0.24
6.58,6.25,0.31
1.89,5.74,-0.05
-2.45,4.41,-0.15
-3.14,5.13,0.24
-3.24,7.69,0.71
-3.86,9.31,0.31
-5.27,8.77,-0.69
-5.97,10.00,-0.56
-4.94,11.36,-1.37
-1.99,8.74,-1.48
-1.97,11.82,-1.50
-2.23,10.35,-1.62
-2.60,10.22,-1.43
-3.89,12.03,-1.43
-3.33,10.59,-1.80
-0.71,10.93,-1.39
-0.04,12.08,-1.22
0.07,11.67,-1.23
0.95,11.62,-0.76
1.90,9.67,-0.82
1.44,11.62,-0.34
2.90,6.52,-0.86
2.70,9.28,0.27
1.73,8.15,-0.06
1.40,8.39,0.60
2.49,7.94,0.65
3.39,7.67,0.49
2.43,7.58,0.58
-0.34,6.28,0.33
-1.87,7.09,1.06
-2.77,9.18,1.30
-2.07,7.25,1.37
-3.04,8.65,1.66
-3.84,8.83,1.76
-2.90,7.55,1.65
-2.00,8.66,1.85
-1.12,7.54,1.52
-1.20,9.98,1.47
-0.39,8.71,1.18
-0.61,9.49,1.40
-1.02,8.87,1.15
-1.13,8.68,1.16
-1.07,9.20,1.35
-0.75,8.89,1.29



-,-,-
-0.58,8.51,1.07
0.11,8.92,1.14
0.47,9.17,0.95
0.22,10.25,0.84
0.33,10.65,0.69
1.58,10.12,0.21
3.51,8.67,1.04
-0.19,9.13,0.45
-0.61,4.99,0.76
-2.02,8.62,1.04
-0.65,6.08,0.90
-1.09,8.95,1.13
-2.31,6.48,0.27
-3.45,8.94,0.03
-3.34,8.82,-0.12
-3.96,9.86,-0.40
-4.78,10.86,-0.78
-4.09,8.98,-1.45
-2.47,11.97,-1.10
-0.69,9.94,-1.28
-1.85,11.74,-1.15
-1.77,9.51,-1.79
-0.30,11.06,-1.30
2.05,10.13,-1.49
2.40,10.81,-1.47
1.63,11.65,-1.28
1.92,10.54,-1.47
2.97,11.23,-1.21
2.11,10.38,-1.04
1.67,10.65,-0.57
3.06,8.42,-0.87
1.97,10.19,0.10
3.43,7.41,-0.05
2.04,7.38,0.29
1.28,8.05,0.85
0.83,7.50,0.88
0.48,7.57,1.28
-1.16,9.21,1.44
-1.14,7.18,1.46
-1.61,9.12,1.93
-1.24,8.00,1.76
-1.03,8.07,2.04
-1.24,7.77,1.78
-1.32,8.55,1.71
-0.88,9.58,1.54
0.11,9.23,1.46
0.49,9.14,1.36
-0.01,9.37,1.28



-,-,-
-0.79,8.58,1.53
-1.21,8.69,1.27
0.02,11.17,1.27
3.66,14.19,1.30
8.20,11.57,-2.04
12.65,5.20,-3.58
12.63,0.46,-3.55
-2.95,0.89,-7.05
-14.73,-2.60,-9.76
-16.98,16.87,-7.35
-11.20,8.98,-4.93
-13.63,16.57,-7.45
-14.39,16.00,-8.67
-6.11,13.76,-12.78
10.35,22.01,-8.73
17.19,11.95,-6.39
